2020-11-10 20:38:40.824 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.4.22.Final
2020-11-10 20:38:45.137 [main] WARN  org.hibernate.mapping.RootClass - HHH000039: Composite-id class does not override hashCode(): com.m3.model.FriendshipKey
2020-11-10 20:38:45.299 [main] WARN  org.springframework.context.support.ClassPathXmlApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'getJavaMailSender' defined in com.m3.service.MailService: Bean instantiation via factory method failed; nested exception is org.springframework.beans.BeanInstantiationException: Failed to instantiate [org.springframework.mail.javamail.JavaMailSender]: Factory method 'getJavaMailSender' threw exception; nested exception is java.lang.NullPointerException
2020-11-10 20:38:45.403 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2020-11-10 20:38:45.424 [main] INFO  org.hibernate.tuple.PojoInstantiator - HHH000182: No default (no-argument) constructor for class: com.m3.model.FriendshipKey (class must be instantiated by Interceptor)
2020-11-10 20:38:45.424 [main] WARN  org.hibernate.mapping.RootClass - HHH000038: Composite-id class does not override equals(): com.m3.model.FriendshipKey
2020-11-10 20:38:45.424 [main] WARN  org.hibernate.mapping.RootClass - HHH000039: Composite-id class does not override hashCode(): com.m3.model.FriendshipKey
2020-11-10 20:38:45.566 [main] WARN  org.springframework.context.support.ClassPathXmlApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'getJavaMailSender' defined in com.m3.service.MailService: Bean instantiation via factory method failed; nested exception is org.springframework.beans.BeanInstantiationException: Failed to instantiate [org.springframework.mail.javamail.JavaMailSender]: Factory method 'getJavaMailSender' threw exception; nested exception is java.lang.NullPointerException
2020-11-10 20:38:45.677 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2020-11-10 20:38:45.695 [main] INFO  org.hibernate.tuple.PojoInstantiator - HHH000182: No default (no-argument) constructor for class: com.m3.model.FriendshipKey (class must be instantiated by Interceptor)
2020-11-10 20:38:45.695 [main] WARN  org.hibernate.mapping.RootClass - HHH000038: Composite-id class does not override equals(): com.m3.model.FriendshipKey
2020-11-10 20:38:45.695 [main] WARN  org.hibernate.mapping.RootClass - HHH000039: Composite-id class does not override hashCode(): com.m3.model.FriendshipKey
2020-11-10 20:38:45.816 [main] WARN  org.springframework.context.support.ClassPathXmlApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'getJavaMailSender' defined in com.m3.service.MailService: Bean instantiation via factory method failed; nested exception is org.springframework.beans.BeanInstantiationException: Failed to instantiate [org.springframework.mail.javamail.JavaMailSender]: Factory method 'getJavaMailSender' threw exception; nested exception is java.lang.NullPointerException
2020-11-10 20:38:45.909 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2020-11-10 20:38:45.925 [main] INFO  org.hibernate.tuple.PojoInstantiator - HHH000182: No default (no-argument) constructor for class: com.m3.model.FriendshipKey (class must be instantiated by Interceptor)
2020-11-10 20:38:45.925 [main] WARN  org.hibernate.mapping.RootClass - HHH000038: Composite-id class does not override equals(): com.m3.model.FriendshipKey
2020-11-10 20:38:45.925 [main] WARN  org.hibernate.mapping.RootClass - HHH000039: Composite-id class does not override hashCode(): com.m3.model.FriendshipKey
2020-11-10 20:38:46.050 [main] WARN  org.springframework.context.support.ClassPathXmlApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'getJavaMailSender' defined in com.m3.service.MailService: Bean instantiation via factory method failed; nested exception is org.springframework.beans.BeanInstantiationException: Failed to instantiate [org.springframework.mail.javamail.JavaMailSender]: Factory method 'getJavaMailSender' threw exception; nested exception is java.lang.NullPointerException
2020-11-10 20:38:46.155 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2020-11-10 20:38:46.172 [main] INFO  org.hibernate.tuple.PojoInstantiator - HHH000182: No default (no-argument) constructor for class: com.m3.model.FriendshipKey (class must be instantiated by Interceptor)
2020-11-10 20:38:46.173 [main] WARN  org.hibernate.mapping.RootClass - HHH000038: Composite-id class does not override equals(): com.m3.model.FriendshipKey
2020-11-10 20:38:46.173 [main] WARN  org.hibernate.mapping.RootClass - HHH000039: Composite-id class does not override hashCode(): com.m3.model.FriendshipKey
2020-11-10 20:38:46.313 [main] WARN  org.springframework.context.support.ClassPathXmlApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'getJavaMailSender' defined in com.m3.service.MailService: Bean instantiation via factory method failed; nested exception is org.springframework.beans.BeanInstantiationException: Failed to instantiate [org.springframework.mail.javamail.JavaMailSender]: Factory method 'getJavaMailSender' threw exception; nested exception is java.lang.NullPointerException
2020-11-10 20:38:46.431 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2020-11-10 20:38:46.450 [main] INFO  org.hibernate.tuple.PojoInstantiator - HHH000182: No default (no-argument) constructor for class: com.m3.model.FriendshipKey (class must be instantiated by Interceptor)
2020-11-10 20:38:46.450 [main] WARN  org.hibernate.mapping.RootClass - HHH000038: Composite-id class does not override equals(): com.m3.model.FriendshipKey
2020-11-10 20:38:46.450 [main] WARN  org.hibernate.mapping.RootClass - HHH000039: Composite-id class does not override hashCode(): com.m3.model.FriendshipKey
2020-11-10 20:38:46.569 [main] WARN  org.springframework.context.support.ClassPathXmlApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'getJavaMailSender' defined in com.m3.service.MailService: Bean instantiation via factory method failed; nested exception is org.springframework.beans.BeanInstantiationException: Failed to instantiate [org.springframework.mail.javamail.JavaMailSender]: Factory method 'getJavaMailSender' threw exception; nested exception is java.lang.NullPointerException
2020-11-10 20:38:46.685 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2020-11-10 20:38:46.702 [main] INFO  org.hibernate.tuple.PojoInstantiator - HHH000182: No default (no-argument) constructor for class: com.m3.model.FriendshipKey (class must be instantiated by Interceptor)
2020-11-10 20:38:46.702 [main] WARN  org.hibernate.mapping.RootClass - HHH000038: Composite-id class does not override equals(): com.m3.model.FriendshipKey
2020-11-10 20:38:46.702 [main] WARN  org.hibernate.mapping.RootClass - HHH000039: Composite-id class does not override hashCode(): com.m3.model.FriendshipKey
2020-11-10 20:38:46.819 [main] WARN  org.springframework.context.support.ClassPathXmlApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'getJavaMailSender' defined in com.m3.service.MailService: Bean instantiation via factory method failed; nested exception is org.springframework.beans.BeanInstantiationException: Failed to instantiate [org.springframework.mail.javamail.JavaMailSender]: Factory method 'getJavaMailSender' threw exception; nested exception is java.lang.NullPointerException
2020-11-10 20:38:46.967 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2020-11-10 20:38:46.985 [main] INFO  org.hibernate.tuple.PojoInstantiator - HHH000182: No default (no-argument) constructor for class: com.m3.model.FriendshipKey (class must be instantiated by Interceptor)
2020-11-10 20:38:46.985 [main] WARN  org.hibernate.mapping.RootClass - HHH000038: Composite-id class does not override equals(): com.m3.model.FriendshipKey
2020-11-10 20:38:46.985 [main] WARN  org.hibernate.mapping.RootClass - HHH000039: Composite-id class does not override hashCode(): com.m3.model.FriendshipKey
2020-11-10 20:38:47.103 [main] WARN  org.springframework.context.support.ClassPathXmlApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'getJavaMailSender' defined in com.m3.service.MailService: Bean instantiation via factory method failed; nested exception is org.springframework.beans.BeanInstantiationException: Failed to instantiate [org.springframework.mail.javamail.JavaMailSender]: Factory method 'getJavaMailSender' threw exception; nested exception is java.lang.NullPointerException
2020-11-10 20:38:47.205 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2020-11-10 20:38:47.222 [main] INFO  org.hibernate.tuple.PojoInstantiator - HHH000182: No default (no-argument) constructor for class: com.m3.model.FriendshipKey (class must be instantiated by Interceptor)
2020-11-10 20:38:47.223 [main] WARN  org.hibernate.mapping.RootClass - HHH000038: Composite-id class does not override equals(): com.m3.model.FriendshipKey
2020-11-10 20:38:47.223 [main] WARN  org.hibernate.mapping.RootClass - HHH000039: Composite-id class does not override hashCode(): com.m3.model.FriendshipKey
2020-11-10 20:38:47.323 [main] WARN  org.springframework.context.support.ClassPathXmlApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'getJavaMailSender' defined in com.m3.service.MailService: Bean instantiation via factory method failed; nested exception is org.springframework.beans.BeanInstantiationException: Failed to instantiate [org.springframework.mail.javamail.JavaMailSender]: Factory method 'getJavaMailSender' threw exception; nested exception is java.lang.NullPointerException
2020-11-10 20:38:47.443 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2020-11-10 20:38:47.459 [main] INFO  org.hibernate.tuple.PojoInstantiator - HHH000182: No default (no-argument) constructor for class: com.m3.model.FriendshipKey (class must be instantiated by Interceptor)
2020-11-10 20:38:47.459 [main] WARN  org.hibernate.mapping.RootClass - HHH000038: Composite-id class does not override equals(): com.m3.model.FriendshipKey
2020-11-10 20:38:47.459 [main] WARN  org.hibernate.mapping.RootClass - HHH000039: Composite-id class does not overrid
